# Fonte: Wikidata SPARQL (P31=comune italiano Q747074, P635=codice ISTAT, P625=coordinata)
# Licenza: CC0 1.0 (Wikidata) - https://www.wikidata.org/wiki/Wikidata:Licensing
# Data di scarico: 2026-08-18
# Rigenerazione: npx tsx scripts/fetch-wikidata-territorial.ts
istat_code,latitude,longitude
001149,45.122043,7.064708
001160,45.490759,7.862818
001148,45.300255,7.932723
001133,45.318202,7.606187
001128,45.273351,7.477411
001197,44.920845,7.846928
001096,45.359435,7.815187
001179,45.430657,7.793217
001195,44.919442,7.426212
001156,45.000461,7.684754
001144,45.058032,7.874623
001194,44.990555,7.463704
001102,45.303853,7.744719
001176,45.349290,7.742524
001147,45.118143,7.115109
001122,44.945640,7.218414
001143,45.346657,8.013324
001104,45.216871,7.522685
001196,45.446259,8.005722
001153,45.045749,7.920827
001113,45.263872,7.469483
001169,45.189640,7.015498
001163,45.037649,7.940028
001172,45.329255,7.861721
001127,44.957744,7.667324
001109,45.280852,7.663618
001129,45.158252,7.991627
001159,45.337455,7.838820
001099,45.134748,7.576618
001193,44.932943,7.610123
001171,45.007263,7.536919
001115,45.042005,7.351994
001183,45.016883,7.749949
001100,45.097383,6.929065
001181,45.437559,7.851715
001170,45.342554,7.693717
001123,44.906727,7.910151
001120,45.068046,7.577620
001135,45.235228,7.736552
001190,44.942640,7.229115
001139,44.815437,7.251318
001175,45.033052,6.832510
001186,44.938264,7.114644
001188,45.289093,7.404162
001097,44.979742,7.376717
001098,45.389720,7.649817
001177,45.459259,7.978921
001105,45.467758,7.833718
001155,45.301873,7.439681
001132,45.478258,7.814717
001140,44.803137,7.246718
001167,45.536160,7.860317
001117,45.125342,7.017507
001125,45.467379,7.874797
001119,45.257502,7.557907
001173,44.849368,7.343243
001134,45.417654,7.458814
001114,45.140239,7.014756
001107,45.345353,7.591015
001192,45.039547,7.777125
001161,45.233553,7.853323
001142,44.851139,7.398020
001101,45.331154,7.690617
001189,45.105847,7.543418
001106,45.271272,7.822265
001124,45.446934,7.752122
001121,45.466468,7.570917
001185,45.397057,7.830819
001165,45.453972,7.314554
001103,45.036095,7.049562
001154,45.142043,7.064609
001110,44.932944,7.350218
001184,44.957440,7.190914
001108,45.437142,7.606743
001126,45.180281,7.516213
001168,44.933143,7.540121
001178,44.833441,7.585924
001118,45.368497,7.258777
001180,45.072466,7.834671
001174,44.871442,7.608024
001187,45.356788,7.638501
076090,40.700000,16.016667
010025,44.407186,8.933983
041067,43.725239,12.637200
055007,42.670228,12.216255
013075,45.810250,9.086139
022216,46.044360,11.277380
065116,40.680556,14.759444
069053,41.967982,14.326558
055005,42.582836,12.769158
022205,46.066667,11.116667
055009,42.707813,11.979594
108033,45.583611,9.273611
082079,38.083333,13.450000
016024,45.695000,9.670000
007003,45.737222,7.320556
028060,45.407778,11.873333
034027,44.801472,10.328000
066049,42.354008,13.391992
072006,41.125278,16.866667
055023,42.718200,12.108269
069103,41.966667,14.366667
023091,45.438611,10.992778
037006,44.493889,11.342778
055006,42.514919,12.289395
004078,44.383333,7.550000
001272,45.079167,7.676111
069009,41.983333,14.333333
018025,44.983333,9.166667
024116,45.550000,11.550000
048017,43.771389,11.254167
025006,46.140831,12.215561
082082,37.751944,14.074167
015046,45.566667,8.933333
067037,42.683333,14.016667
087015,37.502669,15.087269
042002,43.616667,13.516667
025021,46.016667,11.900000
082076,37.750000,13.833333
022112,46.141490,10.773500
017029,45.538889,10.220281
055010,42.755522,12.001580
079023,38.910000,16.587500
055002,42.811518,11.973800
030129,46.066667,13.233333
027042,45.439722,12.331944
036023,44.645820,10.925720
018125,44.950000,9.250000
097042,45.853340,9.390480
055001,42.690386,12.546223
005005,44.900000,8.206944
068028,42.464278,14.214189
098031,45.316667,9.500000
093033,45.962600,12.656300
058091,41.893056,12.482778
018172,45.162222,8.735556
012133,45.816667,8.833333
055004,42.558862,12.411985
006003,44.913331,8.620000
018178,45.083333,8.783333
092009,39.214886,9.109522
028032,45.648611,11.783611
055008,42.401432,12.567585
063024,40.694722,14.480278
020030,45.156389,10.791111
069104,41.950052,14.324687
003106,45.450000,8.620000
022164,46.195600,11.944200
070006,41.561000,14.668400
018110,45.185281,9.155000
012026,45.611958,8.851800
035032,44.916667,10.816667
032006,45.650278,13.770278
055033,42.655409,12.428481
019036,45.133333,10.024722
054039,43.111918,12.388548
053011,42.772222,11.108889
026086,45.665833,12.245556
082053,38.115658,13.361262
040007,44.133333,12.233333
069077,41.915782,14.372797
014061,46.169719,9.870000
049009,43.550000,10.316667
018183,44.953611,9.297500
082063,37.936080,13.177808
063049,40.835833,14.248611
076063,40.633333,15.800000
002158,45.326150,8.423410
069052,41.950000,14.383333
082003,37.864439,13.781389
103072,45.922778,8.551944
052032,43.318333,11.331389
055003,42.587900,12.295587
031007,45.935200,13.619300
044007,42.854722,13.575278
015146,45.466944,9.190000
048014,43.716667,10.950000
029041,45.080900,11.794000
021008,46.498113,11.354780
101010,39.083333,17.116667
061022,41.066667,14.333333
076012,40.766667,15.533333
076070,39.954275,16.039764
076027,40.050000,16.350000
076054,40.066667,15.800000
077028,40.616667,16.150000
076052,40.300000,15.983333
076056,40.766667,15.983333
076005,40.300000,16.066667
076003,40.583333,16.033333
076020,40.033333,16.333333
076013,40.478611,15.630000
077025,40.116667,16.383333
076059,40.633333,15.633333
076068,40.078210,15.757980
076072,40.847222,15.540000
076044,39.992778,15.716667
076082,40.483333,15.683333
076062,40.566667,15.783333
076008,40.650000,15.516667
