# Fonte: Wikidata SPARQL, proprieta' P1448 (nome ufficiale) e P1705 (native label)
# NON rdfs:label: in tedesco restituisce esonimi (Milano -> "Mailand"), non i nomi statutari
# Licenza: CC0 1.0 (Wikidata) - https://www.wikidata.org/wiki/Wikidata:Licensing
# Data di scarico: 2026-08-18
# Rigenerazione: npx tsx scripts/fetch-wikidata-territorial.ts
istat_code,alias
095068,Ula Tirso
095069,Uras
095070,Usellus
115082,Santu Antoni Arruinas
095073,Villa Verde
095071,Villanova Truschedu
095072,Villaurbana
112003,Aldara
111010,Carloforte
042032,Umana
111004,Barrali
081014,Pantiḍḍirìa
081020,San Vitu
083087,Santa Marina
083059,Motta d'Affermu
082065,Santu Màuru
083083,Santa Dumìnica
083077,Santu Filippu
083014,Comune di Castell'Umberto
083088,Sant'Àncilu di Brolu
083085,Sant'Alessiu Sìculu
083084,Comune di Sant'Agata di Militello
083023,Comune di Fondachelli Fantina
083053,Mojo Alcantara
036026,Comune di Montese
021051,Meran
058031,Scarpa
092068,Selargius
056005,Bassano di Sutri
112001,l'Alguer
092075,Settimo San Pietro
095043,Riola Sardo
083078,Comune di San Fratello
083078,Santu Frateddu
083004,Comune di Antillo
083004,Antiddu
083075,Comune di Rodì Milici
083086,Santa Lucìa dû Mela
083081,Comune di San Piero Patti
083081,San Pieru Patti
083081,Sanctus Petrus Super Pactas
083022,Comune di Floresta
083082,Santu Sarvaturi di Fitalia
021106,Olang
083030,Comune di Galati Mamertino
021082,Sankt Martin in Thurn
083105,Villafranca
083001,Comune di Alcara Li Fusi
083016,Comune di Castroreale
111018,Escalaplano
083089,Santa Tresa di Riva
021098,Tramin an der Weinstraße
090048,Olmedo
090050,Osilo
090050,Osile
090051,Ossi
090052,Ozieri
090053,Padria
090055,Pattada
090056,Perfugas
090057,Ploaghe
090059,Pozzomaggiore
090060,Putifigari
090087,Santa Maria Coghinas
090066,Semestene
090067,Sennori
090069,Sorso
090089,Stintino
090086,Tergu
090071,Thiesi
090072,Tissi
021117,La Val
021038,Algund
021039,Lajen
021042,Laas
021063,Percha
084002,Lisciànnira di la Rocca
084026,Naru
084029,Racalmutu
084003,Araùna
021006,Abtei
091002,Arzana
091005,Bari Sardo
091006,Baunei
091103,Cardedu
091019,Elini
091026,Gairo
091039,Loceri
091042,Lotzorai
091069,Osini
091072,Perdasdefogu
111081,Seui
091088,Talana
091089,Tertenia
091097,Triei
091098,Ulassai
091099,Urzulei
091100,Ussassai
091101,Villagrande Strisaili
113001,Azos
113002,Santu Franciscu d'Aglièntu
113003,Alà
113006,Belchidda
113011,Figari
113023,Sant'Antoni de Calanzanus
087001,Jaci Bonaccossi
087002,Jaci Casteddu
087003,Jaci Catina
087005,Jaci Sant'Antoniu
083107,Comune di Acquedolci
083107,Acquiduci
087006,Adranu
021001,Aldein
021007,Barbian
021010,Brenner
021012,Branzoll
021019,Kastelruth
021022,Klausen
016188,San Gioàn Biànch
082027,Cifalù
009002,Arbenga
058008,Ponza
058008,Ponza d'Arcinazzo
021092,Sexten
021013,Bruneck
022029,Caderzone
021076,Salorno
021115,Sterzing
021081,Sankt Lorenzen
021113,Niederdorf
022250,Sèn Jan
008023,Cosio di Arroscia
008063,Vallecrosia al mare
009001,Arasce
009025,Cixan
009066,Vendùn
070001,Kruč
097093,Valle di Trozzo
